RENT_NUM,VID_NUM,DETAIL_FEE,DETAIL_DUEDATE,DETAIL_RETURNDATE,DETAIL_DAILYLATEFEE
1001,34342,2,4-Mar-09,2-Mar-09,1
1001,61353,2,4-Mar-09,3-Mar-09,1
1002,59237,3.5,4-Mar-09,4-Mar-09,3
1003,54325,3.5,4-Mar-09,9-Mar-09,3
1003,61369,2,6-Mar-09,9-Mar-09,1
1003,61388,0,6-Mar-09,9-Mar-09,1
1004,44392,3.5,5-Mar-09,7-Mar-09,3
1004,34367,3.5,5-Mar-09,7-Mar-09,3
1004,34341,2,7-Mar-09,7-Mar-09,1
1005,34342,2,7-Mar-09,5-Mar-09,1
1005,44397,3.5,5-Mar-09,5-Mar-09,3
1006,34366,3.5,5-Mar-09,4-Mar-09,3
1006,61367,2,7-Mar-09,,1
1007,34368,3.5,5-Mar-09,,3
1008,34369,3.5,5-Mar-09,5-Mar-09,3
1009,54324,3.5,5-Mar-09,,3
1001,34366,3.5,4-Mar-09,2-Mar-09,3
